iter	RMSE
0	21930.51516
1	21879.40067
2	21704.57766
3	21581.56522
4	21414.6956
5	21251.5854
6	21145.0619
7	21079.27684
8	20971.06049
9	20815.63374
10	20729.93272
11	20631.47812
12	20477.26243
13	20397.27376
14	20341.89706
15	20309.0416
16	20281.95395
17	20162.26557
18	20098.35092
19	19953.03689
20	19891.89072
21	19817.61706
22	19650.63714
23	19564.96336
24	19541.56196
25	19407.64564
26	19354.79535
27	19276.45866
28	19234.33825
29	19104.91056
30	19032.31337
31	18906.07159
32	18782.80976
33	18657.00981
34	18539.88952
35	18422.20192
36	18310.45142
37	18281.49749
38	18258.60452
39	18149.13938
40	18065.76851
41	18015.3037
42	17912.42026
43	17811.81806
44	17685.56792
45	17562.6398
46	17553.74112
47	17515.05211
48	17452.52899
49	17382.54186
50	17315.19249
51	17182.98258
52	17130.20117
53	17119.74994
54	17062.74726
55	16970.28096
56	16883.49176
57	16821.60883
58	16758.01535
59	16743.3553
60	16618.74621
61	16515.42621
62	16486.76131
63	16482.16277
64	16427.52424
65	16346.94738
66	16342.90211
67	16330.26944
68	16247.39044
69	16171.50697
70	16137.03572
71	16062.66061
72	15996.46835
73	15963.88512
74	15963.78574
75	15910.54864
76	15840.9586
77	15773.57908
78	15704.45183
79	15585.76157
80	15541.55374
81	15473.30452
82	15412.9145
83	15409.89283
84	15351.13406
85	15328.98495
86	15312.41217
87	15236.75074
88	15222.57065
89	15195.01962
90	15140.71503
91	15138.53351
92	15079.78153
93	15043.09847
94	14986.18193
95	14965.15525
96	14910.96438
97	14907.05717
98	14847.46213
99	14808.25103
100	14755.70933
101	14727.74071
102	14697.86779
103	14644.1613
104	14606.97803
105	14555.16402
106	14523.47857
107	14479.8635
108	14478.08636
109	14448.86536
110	14415.69468
111	14367.70791
112	14293.47872
113	14221.13208
114	14185.70262
115	14115.34826
116	14029.76374
117	13998.36413
118	13953.87396
119	13912.23758
120	13871.59858
121	13834.35243
122	13767.97299
123	13753.77553
124	13715.28612
125	13694.10387
126	13656.49782
127	13620.04149
128	13605.46295
129	13574.9778
130	13549.90214
131	13515.83989
132	13506.4977
133	13475.49686
134	13442.30392
135	13420.06666
136	13396.07736
137	13344.55094
138	13340.79852
139	13279.59166
140	13276.21842
141	13241.00024
142	13218.93601
143	13149.15209
144	13139.72317
145	13132.89457
146	13112.07987
147	13078.35773
148	13049.00882
149	12983.45167
150	12958.89254
151	12927.04281
152	12892.52549
153	12854.02155
154	12809.14959
155	12804.84025
156	12777.96339
157	12745.09212
158	12727.07343
159	12685.35864
160	12650.54445
161	12628.59142
162	12587.82094
163	12584.02847
164	12527.34781
165	12494.36195
166	12469.47273
167	12453.17309
168	12429.07418
169	12414.47242
170	12357.3921
171	12339.28724
172	12316.49481
173	12296.59722
174	12270.34738
175	12265.30772
176	12220.8255
177	12169.69182
178	12127.8006
179	12112.17394
180	12089.34127
181	12054.49923
182	12041.01229
183	11993.80953
184	11926.38529
185	11921.26537
186	11877.54838
187	11858.88126
188	11850.59077
189	11807.28212
190	11765.57207
191	11748.16539
192	11743.67606
193	11729.92253
194	11706.89734
195	11682.86495
196	11666.03336
197	11657.49225
198	11630.56966
199	11600.91782
200	11577.18753
201	11554.34673
202	11520.85782
203	11506.38089
204	11452.39982
205	11413.741
206	11379.64891
207	11366.22602
208	11341.2103
209	11328.60825
210	11311.42846
211	11290.40697
212	11271.46763
213	11243.02217
214	11241.35622
215	11198.65561
216	11183.42036
217	11161.11295
218	11159.80647
219	11141.61933
220	11129.10132
221	11103.36656
222	11081.34768
223	11069.63951
224	11051.14076
225	11040.17757
226	11022.02973
227	11012.2794
228	11002.82369
229	10978.66775
230	10969.53295
231	10963.15725
232	10926.20782
233	10917.05705
234	10905.71397
235	10842.41078
236	10821.42126
237	10815.81774
238	10780.22881
239	10740.77115
240	10722.10565
241	10692.40713
242	10691.21607
243	10682.23399
244	10626.37808
245	10609.4915
246	10580.90773
247	10555.88953
248	10533.1263
249	10508.932
250	10495.13507
251	10478.13086
252	10425.56387
253	10402.69169
254	10396.71642
255	10378.1057
256	10346.4302
257	10334.37506
258	10317.58861
259	10300.57592
260	10287.30007
261	10283.59496
