iter	Passed	Remaining
0	1	1410
1	3	1561
2	3	1304
3	4	1201
4	5	1032
5	5	944
6	6	906
7	7	901
8	8	889
9	8	822
10	8	804
11	9	786
12	10	773
13	10	754
14	12	843
15	13	820
16	14	811
17	14	785
18	14	769
19	15	753
20	15	741
21	16	724
22	16	716
23	17	697
24	17	680
25	18	701
26	19	695
27	19	690
28	20	684
29	20	670
30	22	695
31	22	681
32	23	675
33	23	668
34	23	657
35	24	646
36	24	638
37	25	634
38	25	630
39	25	623
40	26	618
41	26	614
42	28	624
43	28	617
44	28	613
45	29	608
46	29	600
47	30	598
48	30	599
49	32	620
50	33	617
51	34	624
52	34	624
53	35	618
54	35	615
55	36	614
56	36	611
57	38	622
58	38	620
59	39	617
60	40	625
61	42	636
62	42	630
63	42	624
64	43	619
65	43	614
66	43	612
67	45	621
68	45	617
69	45	610
70	48	634
71	48	630
72	49	628
73	49	625
74	50	617
75	51	620
76	51	615
77	51	610
78	52	607
79	52	604
80	53	603
81	53	602
82	53	596
83	54	591
84	54	586
85	54	583
86	55	580
87	55	578
88	56	575
89	56	572
90	57	577
91	58	582
92	59	579
93	59	577
94	60	573
95	60	571
96	61	568
97	61	566
98	62	564
99	62	563
100	64	574
101	65	573
102	65	572
103	66	570
104	66	567
105	66	564
106	67	562
107	67	560
108	68	557
109	68	554
110	69	553
111	69	551
112	70	550
113	70	549
114	71	553
115	72	550
116	72	547
117	73	546
118	73	544
119	74	545
120	74	542
121	75	541
122	75	539
123	76	541
124	76	538
125	77	536
126	77	533
127	78	531
128	78	529
129	79	532
130	79	530
131	80	526
132	80	525
133	81	524
134	81	522
135	81	520
136	82	518
137	82	517
138	83	514
139	83	514
140	84	513
141	84	512
142	85	511
143	86	513
144	86	512
145	87	510
146	88	511
147	88	510
148	89	508
149	90	510
150	90	508
151	90	506
152	91	505
153	92	507
154	92	506
155	93	504
156	93	502
157	94	501
158	94	500
159	95	499
160	95	498
161	96	497
162	96	495
163	96	492
164	97	492
165	97	490
166	98	492
167	99	491
168	99	488
169	99	486
170	100	485
171	101	487
172	101	485
173	101	483
174	102	483
175	103	482
176	103	480
177	103	480
178	104	479
179	104	477
180	105	476
181	105	475
182	106	474
183	106	473
184	107	472
185	108	474
186	108	473
187	109	471
188	109	470
189	110	469
190	110	469
191	110	466
192	111	467
193	112	466
194	112	465
195	113	465
196	113	464
197	114	463
198	114	462
199	116	464
200	117	465
201	117	464
202	118	463
203	119	464
204	120	466
205	120	465
206	121	464
207	121	462
208	121	461
209	122	461
210	124	463
211	124	462
212	125	461
213	125	460
214	126	462
215	127	461
216	127	459
217	127	458
218	128	457
219	128	456
220	129	455
221	129	454
222	130	453
223	130	452
224	131	451
225	132	452
226	133	453
227	133	451
228	133	449
229	134	449
230	134	447
231	134	446
232	136	447
233	136	446
234	137	446
235	138	449
236	139	448
237	140	449
238	140	448
239	141	447
240	141	446
241	143	448
242	143	447
243	145	451
244	146	450
245	146	449
246	147	448
247	147	448
248	148	448
249	149	447
250	149	446
251	150	446
252	150	445
253	151	444
254	151	443
255	152	443
256	153	444
257	154	443
258	154	442
259	155	441
260	155	440
261	156	439
262	156	438
263	156	437
264	157	436
265	157	435
266	159	436
267	159	435
268	159	434
269	160	433
270	160	432
271	161	431
272	162	432
273	162	431
274	163	430
275	163	429
276	164	429
277	167	433
278	169	436
279	169	436
280	170	437
281	172	438
282	172	437
283	173	436
284	173	435
285	174	434
286	174	433
287	175	432
288	175	432
289	176	431
290	176	430
291	177	431
292	178	430
293	178	429
294	179	428
295	180	428
296	180	427
297	181	427
298	181	426
299	182	425
300	183	425
301	183	425
302	184	424
303	185	424
304	186	425
305	187	425
306	188	424
307	189	425
308	189	424
309	190	423
310	191	424
311	191	423
312	192	422
313	192	420
314	193	420
315	193	419
316	194	418
317	194	417
318	194	416
319	195	415
320	195	414
321	196	413
322	196	412
323	197	411
324	197	410
325	198	410
326	199	410
327	199	409
328	200	408
329	200	407
330	201	408
331	203	408
332	203	407
333	203	406
334	204	405
335	204	404
336	205	404
337	207	406
338	207	405
339	208	404
340	208	403
341	209	402
342	209	401
343	210	400
344	210	399
345	211	398
346	211	397
347	211	397
348	212	396
349	212	395
350	213	394
351	214	394
352	214	393
353	215	393
354	215	392
355	216	391
356	216	390
357	217	389
358	217	388
359	218	387
360	218	386
361	219	387
362	220	386
363	220	385
364	221	384
365	221	383
366	222	384
367	223	383
368	224	383
369	224	382
370	224	381
371	225	380
372	225	379
373	227	380
374	229	382
375	230	381
376	230	380
377	231	380
378	231	379
